igr	n_isolates	prevalence	avg_len	is_core_igr
Cluster_20171	1226	0.9959		True
Cluster_24823	1226	0.9959		True
Cluster_15856	1226	0.9959		True
Cluster_9402	1226	0.9959		True
Cluster_2198	1226	0.9959		True
Cluster_23935	1226	0.9959		True
Cluster_11707	1226	0.9959		True
Cluster_25709	1226	0.9959		True
Cluster_11824	1226	0.9959		True
Cluster_14538	1226	0.9959		True
Cluster_22065	1226	0.9959		True
Cluster_15689	1226	0.9959		True
Cluster_23663	1226	0.9959		True
Cluster_11221	1226	0.9959		True
Cluster_19311	1226	0.9959		True
Cluster_17558	1226	0.9959		True
Cluster_17128	1226	0.9959		True
Cluster_23410	1226	0.9959		True
Cluster_14260	1226	0.9959		True
Cluster_12675	1226	0.9959		True
Cluster_19067	1226	0.9959		True
Cluster_14522	1226	0.9959		True
Cluster_13130	1226	0.9959		True
Cluster_15438	1226	0.9959		True
Cluster_24938	1226	0.9959		True
Cluster_20006	1226	0.9959		True
Cluster_16589	1226	0.9959		True
Cluster_13811	1226	0.9959		True
Cluster_14124	1225	0.9951		True
Cluster_6216	1225	0.9951		True
Cluster_6647	1225	0.9951		True
Cluster_3413	1225	0.9951		True
Cluster_22965	1225	0.9951		True
Cluster_21858	1225	0.9951		True
Cluster_21558	1225	0.9951		True
Cluster_11317	1225	0.9951		True
Cluster_17854	1225	0.9951		True
Cluster_14342	1225	0.9951		True
Cluster_17139	1225	0.9951		True
Cluster_9796	1225	0.9951		True
Cluster_14051	1225	0.9951		True
Cluster_3276	1225	0.9951		True
Cluster_6382	1225	0.9951		True
Cluster_25547	1225	0.9951		True
Cluster_13519	1225	0.9951		True
Cluster_12742	1225	0.9951		True
Cluster_24937	1225	0.9951		True
Cluster_19365	1225	0.9951		True
Cluster_20393	1225	0.9951		True
Cluster_16671	1225	0.9951		True
Cluster_7111	1225	0.9951		True
Cluster_21241	1225	0.9951		True
Cluster_10677	1225	0.9951		True
Cluster_13487	1225	0.9951		True
Cluster_18335	1225	0.9951		True
Cluster_10330	1225	0.9951		True
Cluster_20459	1225	0.9951		True
Cluster_21929	1225	0.9951		True
Cluster_16171	1225	0.9951		True
Cluster_2054	1225	0.9951		True
Cluster_18872	1225	0.9951		True
Cluster_2305	1225	0.9951		True
Cluster_16795	1225	0.9951		True
Cluster_18695	1225	0.9951		True
Cluster_17298	1225	0.9951		True
Cluster_8541	1225	0.9951		True
Cluster_23229	1225	0.9951		True
Cluster_17478	1225	0.9951		True
Cluster_6144	1225	0.9951		True
Cluster_10021	1225	0.9951		True
Cluster_18838	1225	0.9951		True
